role,permission(action),description
Global Reader,microsoft.office365.serviceHealth/allEntities/allTasks,"Read and configure Service Health in the Microsoft 365 admin center"
Global Reader,microsoft.office365.usageReports/allEntities/allProperties/read,"Read Office 365 usage reports"
Global Reader,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
Global Reader,microsoft.office365.yammer/allEntities/allProperties/read,"Read all aspects of Yammer"
Global Reader,microsoft.permissionsManagement/allEntities/allProperties/read,"Read all aspects of Microsoft Entra Permissions Management"
Global Reader,microsoft.teams/allEntities/allProperties/read,"Read all properties of Microsoft Teams"
Global Reader,microsoft.virtualVisits/allEntities/allProperties/read,"Read all aspects of Virtual Visits"
Global Reader,microsoft.viva.glint/allEntities/allProperties/read,"Read all Microsoft Viva Glint settings in the Microsoft 365 admin center"
Global Reader,microsoft.viva.goals/allEntities/allProperties/read,"Read all aspects of Microsoft Viva Goals"
Global Reader,microsoft.viva.pulse/allEntities/allProperties/read,"Read all aspects of Microsoft Viva Pulse"
Global Reader,microsoft.windows.updatesDeployments/allEntities/allProperties/read,"Read all aspects of Windows Update Service"
Global Secure Access Administrator,microsoft.azure.supportTickets/allEntities/allTasks,"Create and manage Azure support tickets"
Global Secure Access Administrator,microsoft.directory/applicationPolicies/standard/read,"Read standard properties of application policies"
Global Secure Access Administrator,microsoft.directory/applications/applicationProxy/read,"Read all application proxy properties"
Global Secure Access Administrator,microsoft.directory/applications/owners/read,"Read owners of applications"
Global Secure Access Administrator,microsoft.directory/applications/policies/read,"Read policies of applications"
Global Secure Access Administrator,microsoft.directory/applications/standard/read,"Read standard properties of applications"
Global Secure Access Administrator,microsoft.directory/auditLogs/allProperties/read,"Read all properties on audit logs, excluding custom security attributes audit logs"
Global Secure Access Administrator,microsoft.directory/conditionalAccessPolicies/standard/read,"Read Conditional Access for policies"
Global Secure Access Administrator,microsoft.directory/connectorGroups/allProperties/read,"Read all properties of application proxy connector groups"
Global Secure Access Administrator,microsoft.directory/connectors/allProperties/read,"Read all properties of application proxy connectors"
Global Secure Access Administrator,microsoft.directory/crossTenantAccessPolicy/default/standard/read,"Read basic properties of the default cross-tenant access policy"
Global Secure Access Administrator,microsoft.directory/crossTenantAccessPolicy/partners/standard/read,"Read basic properties of cross-tenant access policy for partners"
Global Secure Access Administrator,microsoft.directory/crossTenantAccessPolicy/standard/read,"Read basic properties of cross-tenant access policy"
Global Secure Access Administrator,microsoft.directory/namedLocations/standard/read,"Read basic properties of custom rules that define network locations"
Global Secure Access Administrator,microsoft.directory/signInReports/allProperties/read,"Read all properties on sign-in reports, including privileged properties"
Global Secure Access Administrator,microsoft.networkAccess/allEntities/allProperties/allTasks,"Manage all aspects of Microsoft Entra Network Access"
Global Secure Access Administrator,microsoft.office365.messageCenter/messages/read,"Read messages in Message Center in the Microsoft 365 admin center, excluding security messages"
Global Secure Access Administrator,microsoft.office365.serviceHealth/allEntities/allTasks,"Read and configure Service Health in the Microsoft 365 admin center"
Global Secure Access Administrator,microsoft.office365.supportTickets/allEntities/allTasks,"Create and manage Microsoft 365 service requests"
Global Secure Access Administrator,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
Global Secure Access Log Reader,microsoft.networkAccess/trafficLogs/standard/read,"Read standard properties of traffic logs such as DeviceId, DestinationIp and PolicyRuleId"
Groups Administrator,microsoft.azure.serviceHealth/allEntities/allTasks,"Read and configure Azure Service Health"
Groups Administrator,microsoft.azure.supportTickets/allEntities/allTasks,"Create and manage Azure support tickets"
Groups Administrator,microsoft.directory/bulkJobs.groups/basic/update,"Update bulk jobs related to groups"
Groups Administrator,microsoft.directory/bulkJobs.groups/create,"Create bulk jobs related to groups"
Groups Administrator,microsoft.directory/bulkJobs.groups/standard/read,"Read bulk jobs related to groups"
Groups Administrator,microsoft.directory/deletedItems.groups/delete,"Permanently delete groups, which can no longer be restored"
Groups Administrator,microsoft.directory/deletedItems.groups/restore,"Restore soft deleted groups to original state"
Groups Administrator,microsoft.directory/groups/assignedLabels/update,"Update the assigned labels property on groups of assigned membership type, excluding role-assignable groups"
Groups Administrator,microsoft.directory/groups/assignLicense,"Assign product licenses to groups for group-based licensing"
Groups Administrator,microsoft.directory/groups/basic/update,"Update basic properties on Security groups and Microsoft 365 groups, excluding role-assignable groups"
Groups Administrator,microsoft.directory/groups/classification/update,"Update the classification property on Security groups and Microsoft 365 groups, excluding role-assignable groups"
Groups Administrator,microsoft.directory/groups/create,"Create Security groups and Microsoft 365 groups, excluding role-assignable groups"
Groups Administrator,microsoft.directory/groups/delete,"Delete Security groups and Microsoft 365 groups, excluding role-assignable groups"
Groups Administrator,microsoft.directory/groups/dynamicMembershipRule/update,"Update the dynamic membership rule on Security groups and Microsoft 365 groups, excluding role-assignable groups"
Groups Administrator,microsoft.directory/groups/groupType/update,"Update properties that would affect the group type of Security groups and Microsoft 365 groups, excluding role-assignable groups"
Groups Administrator,microsoft.directory/groups/hiddenMembers/read,"Read hidden members of Security groups and Microsoft 365 groups, including role-assignable groups"
Groups Administrator,microsoft.directory/groups/members/update,"Update members of Security groups and Microsoft 365 groups, excluding role-assignable groups"
Groups Administrator,microsoft.directory/groups/onPremWriteBack/update,"Update Microsoft Entra groups to be written back to on-premises with Microsoft Entra Connect"
Groups Administrator,microsoft.directory/groups/owners/update,"Update owners of Security groups and Microsoft 365 groups, excluding role-assignable groups"
Groups Administrator,microsoft.directory/groups/reprocessLicenseAssignment,"Reprocess license assignments for group-based licensing"
Groups Administrator,microsoft.directory/groups/restore,"Restore groups from soft-deleted container"
Groups Administrator,microsoft.directory/groups/settings/update,"Update settings of groups"
Groups Administrator,microsoft.directory/groups/visibility/update,"Update the visibility property of Security groups and Microsoft 365 groups, excluding role-assignable groups"
Groups Administrator,microsoft.office365.serviceHealth/allEntities/allTasks,"Read and configure Service Health in the Microsoft 365 admin center"
Groups Administrator,microsoft.office365.supportTickets/allEntities/allTasks,"Create and manage Microsoft 365 service requests"
Groups Administrator,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
Guest Inviter,microsoft.directory/users/appRoleAssignments/read,"Read application role assignments for users"
Guest Inviter,microsoft.directory/users/deviceForResourceAccount/read,"Read deviceForResourceAccount of users"
Guest Inviter,microsoft.directory/users/directReports/read,"Read the direct reports for users"
Guest Inviter,microsoft.directory/users/invitedBy/read,"Read the user that invited an external user to a tenant"
Guest Inviter,microsoft.directory/users/inviteGuest,"Invite guest users"
Guest Inviter,microsoft.directory/users/licenseDetails/read,"Read license details of users"
Guest Inviter,microsoft.directory/users/manager/read,"Read manager of users"
Guest Inviter,microsoft.directory/users/memberOf/read,"Read the group memberships of users"
Guest Inviter,microsoft.directory/users/oAuth2PermissionGrants/read,"Read delegated permission grants on users"
Guest Inviter,microsoft.directory/users/ownedDevices/read,"Read owned devices of users"
Guest Inviter,microsoft.directory/users/ownedObjects/read,"Read owned objects of users"
Guest Inviter,microsoft.directory/users/photo/read,"Read photo of users"
Guest Inviter,microsoft.directory/users/registeredDevices/read,"Read registered devices of users"
Guest Inviter,microsoft.directory/users/scopedRoleMemberOf/read,"Read user's membership of a Microsoft Entra role, that is scoped to an administrative unit"
Guest Inviter,microsoft.directory/users/sponsors/read,"Read sponsors of users"
Guest Inviter,microsoft.directory/users/standard/read,"Read basic properties on users"
Helpdesk Administrator,microsoft.azure.serviceHealth/allEntities/allTasks,"Read and configure Azure Service Health"
Helpdesk Administrator,microsoft.azure.supportTickets/allEntities/allTasks,"Create and manage Azure support tickets"
Helpdesk Administrator,microsoft.directory/bitlockerKeys/key/read,"Read bitlocker metadata and key on devices"
Helpdesk Administrator,microsoft.directory/deviceLocalCredentials/standard/read,"Read all properties of the backed up local administrator account credentials for Microsoft Entra joined devices, except the password"
Helpdesk Administrator,microsoft.directory/users/invalidateAllRefreshTokens,"Force sign-out by invalidating user refresh tokens"
Helpdesk Administrator,microsoft.directory/users/password/update,"Reset passwords for all users"
Helpdesk Administrator,microsoft.office365.serviceHealth/allEntities/allTasks,"Read and configure Service Health in the Microsoft 365 admin center"
Helpdesk Administrator,microsoft.office365.supportTickets/allEntities/allTasks,"Create and manage Microsoft 365 service requests"
Helpdesk Administrator,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
Hybrid Identity Administrator,microsoft.azure.serviceHealth/allEntities/allTasks,"Read and configure Azure Service Health"
Hybrid Identity Administrator,microsoft.azure.supportTickets/allEntities/allTasks,"Create and manage Azure support tickets"
Hybrid Identity Administrator,microsoft.directory/applications/appRoles/update,"Update the appRoles property on all types of applications"
Hybrid Identity Administrator,microsoft.directory/applications/audience/update,"Update the audience property for applications"
Hybrid Identity Administrator,microsoft.directory/applications/authentication/update,"Update authentication on all types of applications"
Hybrid Identity Administrator,microsoft.directory/applications/basic/update,"Update basic properties for applications"
Hybrid Identity Administrator,microsoft.directory/applications/create,"Create all types of applications"
Hybrid Identity Administrator,microsoft.directory/applications/delete,"Delete all types of applications"
Hybrid Identity Administrator,microsoft.directory/applications/notes/update,"Update notes of applications"
Hybrid Identity Administrator,microsoft.directory/applications/owners/update,"Update owners of applications"
Hybrid Identity Administrator,microsoft.directory/applications/permissions/update,"Update exposed permissions and required permissions on all types of applications"
Hybrid Identity Administrator,microsoft.directory/applications/policies/update,"Update policies of applications"
Hybrid Identity Administrator,microsoft.directory/applications/synchronization/standard/read,"Read provisioning settings associated with the application object"
Hybrid Identity Administrator,microsoft.directory/applications/tag/update,"Update tags of applications"
Hybrid Identity Administrator,microsoft.directory/applicationTemplates/instantiate,"Instantiate gallery applications from application templates"
Hybrid Identity Administrator,microsoft.directory/auditLogs/allProperties/read,"Read all properties on audit logs, excluding custom security attributes audit logs"
Hybrid Identity Administrator,microsoft.directory/cloudProvisioning/allProperties/allTasks,"Read and configure all properties of Microsoft Entra cloud provisioning service."
Hybrid Identity Administrator,microsoft.directory/deletedItems.applications/delete,"Permanently delete applications, which can no longer be restored"
Hybrid Identity Administrator,microsoft.directory/deletedItems.applications/restore,"Restore soft deleted applications to original state"
Hybrid Identity Administrator,microsoft.directory/domains/allProperties/read,"Read all properties of domains"
Hybrid Identity Administrator,microsoft.directory/domains/federation/update,"Update federation property of domains"
Hybrid Identity Administrator,microsoft.directory/domains/federationConfiguration/basic/update,"Update basic federation configuration for domains"
Hybrid Identity Administrator,microsoft.directory/domains/federationConfiguration/create,"Create federation configuration for domains"
Hybrid Identity Administrator,microsoft.directory/domains/federationConfiguration/delete,"Delete federation configuration for domains"
Hybrid Identity Administrator,microsoft.directory/domains/federationConfiguration/standard/read,"Read standard properties of federation configuration for domains"
Hybrid Identity Administrator,microsoft.directory/hybridAuthenticationPolicy/allProperties/allTasks,"Manage hybrid authentication policy in Microsoft Entra ID"
Hybrid Identity Administrator,microsoft.directory/onPremisesSynchronization/basic/update,"Update basic on-premises directory synchronization information"
Hybrid Identity Administrator,microsoft.directory/onPremisesSynchronization/standard/read,"Read standard on-premises directory synchronization information"
Hybrid Identity Administrator,microsoft.directory/organization/dirSync/update,"Update the organization directory sync property"
Hybrid Identity Administrator,microsoft.directory/passwordHashSync/allProperties/allTasks,"Manage all aspects of Password Hash Synchronization (PHS) in Microsoft Entra ID"
Hybrid Identity Administrator,microsoft.directory/provisioningLogs/allProperties/read,"Read all properties of provisioning logs"
Hybrid Identity Administrator,microsoft.directory/servicePrincipals/appRoleAssignedTo/update,"Update service principal role assignments"
Hybrid Identity Administrator,microsoft.directory/servicePrincipals/audience/update,"Update audience properties on service principals"
Hybrid Identity Administrator,microsoft.directory/servicePrincipals/authentication/update,"Update authentication properties on service principals"
Hybrid Identity Administrator,microsoft.directory/servicePrincipals/basic/update,"Update basic properties on service principals"
Hybrid Identity Administrator,microsoft.directory/servicePrincipals/create,"Create service principals"
Hybrid Identity Administrator,microsoft.directory/servicePrincipals/delete,"Delete service principals"
Hybrid Identity Administrator,microsoft.directory/servicePrincipals/disable,"Disable service principals"
Hybrid Identity Administrator,microsoft.directory/servicePrincipals/enable,"Enable service principals"
Hybrid Identity Administrator,microsoft.directory/servicePrincipals/notes/update,"Update notes of service principals"
Hybrid Identity Administrator,microsoft.directory/servicePrincipals/owners/update,"Update owners of service principals"
Hybrid Identity Administrator,microsoft.directory/servicePrincipals/permissions/update,"Update permissions of service principals"
Hybrid Identity Administrator,microsoft.directory/servicePrincipals/policies/update,"Update policies of service principals"
Hybrid Identity Administrator,microsoft.directory/servicePrincipals/synchronization.cloudTenantToCloudTenant/credentials/manage,"Manage cloud tenant to cloud tenant application provisioning secrets and credentials."
Hybrid Identity Administrator,microsoft.directory/servicePrincipals/synchronization.cloudTenantToCloudTenant/jobs/manage,"Start, restart, and pause cloud tenant to cloud tenant application provisioning synchronization jobs."
Hybrid Identity Administrator,microsoft.directory/servicePrincipals/synchronization.cloudTenantToCloudTenant/schema/manage,"Create and manage cloud tenant to cloud tenant application provisioning synchronization jobs and schema."
Hybrid Identity Administrator,microsoft.directory/servicePrincipals/synchronization.cloudTenantToExternalSystem/credentials/manage,"Manage application provisioning secrets and credentials."
Hybrid Identity Administrator,microsoft.directory/servicePrincipals/synchronization.cloudTenantToExternalSystem/jobs/manage,"Start, restart, and pause application provisioning synchronization jobs."
Hybrid Identity Administrator,microsoft.directory/servicePrincipals/synchronization.cloudTenantToExternalSystem/schema/manage,"Create and manage application provisioning synchronization jobs and schema."
Hybrid Identity Administrator,microsoft.directory/servicePrincipals/synchronization/standard/read,"Read provisioning settings associated with your service principal"
Hybrid Identity Administrator,microsoft.directory/servicePrincipals/synchronizationCredentials/manage,"Manage application provisioning secrets and credentials"
Hybrid Identity Administrator,microsoft.directory/servicePrincipals/synchronizationJobs/manage,"Start, restart, and pause application provisioning synchronization jobs"
Hybrid Identity Administrator,microsoft.directory/servicePrincipals/synchronizationSchema/manage,"Create and manage application provisioning synchronization jobs and schema"
Hybrid Identity Administrator,microsoft.directory/servicePrincipals/tag/update,"Update the tag property for service principals"
Hybrid Identity Administrator,microsoft.directory/signInReports/allProperties/read,"Read all properties on sign-in reports, including privileged properties"
Hybrid Identity Administrator,microsoft.directory/users/authorizationInfo/update,"Update the multivalued Certificate user IDs property of users"
Hybrid Identity Administrator,microsoft.office365.messageCenter/messages/read,"Read messages in Message Center in the Microsoft 365 admin center, excluding security messages"
Hybrid Identity Administrator,microsoft.office365.serviceHealth/allEntities/allTasks,"Read and configure Service Health in the Microsoft 365 admin center"
Hybrid Identity Administrator,microsoft.office365.supportTickets/allEntities/allTasks,"Create and manage Microsoft 365 service requests"
Hybrid Identity Administrator,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
Identity Governance Administrator,microsoft.directory/accessReviews/allProperties/allTasks,"Create and delete access reviews, and read and update all properties of access reviews in Microsoft Entra ID"
Identity Governance Administrator,microsoft.directory/accessReviews/definitions.applications/allProperties/allTasks,"Manage access reviews of application role assignments in Microsoft Entra ID"
Identity Governance Administrator,microsoft.directory/accessReviews/definitions.entitlementManagement/allProperties/allTasks,"Manage access reviews for access package assignments in entitlement management"
Identity Governance Administrator,microsoft.directory/accessReviews/definitions.groups/allProperties/read,"Read all properties of access reviews for membership in Security and Microsoft 365 groups, including role-assignable groups."
Identity Governance Administrator,microsoft.directory/accessReviews/definitions.groups/allProperties/update,"Update all properties of access reviews for membership in Security and Microsoft 365 groups, excluding role-assignable groups."
Identity Governance Administrator,microsoft.directory/accessReviews/definitions.groups/create,"Create access reviews for membership in Security and Microsoft 365 groups."
Identity Governance Administrator,microsoft.directory/accessReviews/definitions.groups/delete,"Delete access reviews for membership in Security and Microsoft 365 groups."
Identity Governance Administrator,microsoft.directory/entitlementManagement/allProperties/allTasks,"Create and delete resources, and read and update all properties in Microsoft Entra entitlement management"
Identity Governance Administrator,microsoft.directory/groups/members/update,"Update members of Security groups and Microsoft 365 groups, excluding role-assignable groups"
Identity Governance Administrator,microsoft.directory/servicePrincipals/appRoleAssignedTo/update,"Update service principal role assignments"
Insights Administrator,microsoft.azure.serviceHealth/allEntities/allTasks,"Read and configure Azure Service Health"
Insights Administrator,microsoft.azure.supportTickets/allEntities/allTasks,"Create and manage Azure support tickets"
Insights Administrator,microsoft.insights/allEntities/allProperties/allTasks,"Manage all aspects of Insights app"
Insights Administrator,microsoft.office365.serviceHealth/allEntities/allTasks,"Read and configure Service Health in the Microsoft 365 admin center"
Insights Administrator,microsoft.office365.supportTickets/allEntities/allTasks,"Create and manage Microsoft 365 service requests"
Insights Administrator,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
Insights Analyst,microsoft.insights/queries/allProperties/allTasks,"Run and manage queries in Viva Insights"
Insights Analyst,microsoft.office365.supportTickets/allEntities/allTasks,"Create and manage Microsoft 365 service requests"
Insights Analyst,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
Insights Business Leader,microsoft.insights/programs/allProperties/update,"Deploy and manage programs in Insights app"
Insights Business Leader,microsoft.insights/reports/allProperties/read,"View reports and dashboard in Insights app"
Intune Administrator,microsoft.azure.supportTickets/allEntities/allTasks,"Create and manage Azure support tickets"
Intune Administrator,microsoft.cloudPC/allEntities/allProperties/allTasks,"Manage all aspects of Windows 365"
Intune Administrator,microsoft.directory/bitlockerKeys/key/read,"Read bitlocker metadata and key on devices"
Intune Administrator,microsoft.directory/contacts/basic/update,"Update basic properties on contacts"
Intune Administrator,microsoft.directory/contacts/create,"Create contacts"
Intune Administrator,microsoft.directory/contacts/delete,"Delete contacts"
Intune Administrator,microsoft.directory/deletedItems.devices/delete,"Permanently delete devices, which can no longer be restored"
Intune Administrator,microsoft.directory/deletedItems.devices/restore,"Restore soft deleted devices to original state"
Intune Administrator,microsoft.directory/deviceLocalCredentials/password/read,"Read all properties of the backed up local administrator account credentials for Microsoft Entra joined devices, including the password"
Intune Administrator,microsoft.directory/deviceManagementPolicies/standard/read,"Read standard properties on mobile device management and mobile app management policies"
Intune Administrator,microsoft.directory/deviceRegistrationPolicy/standard/read,"Read standard properties on device registration policies"
Intune Administrator,microsoft.directory/devices/basic/update,"Update basic properties on devices"
Intune Administrator,microsoft.directory/devices/create,"Create devices (enroll in Microsoft Entra ID)"
Intune Administrator,microsoft.directory/devices/delete,"Delete devices from Microsoft Entra ID"
Intune Administrator,microsoft.directory/devices/disable,"Disable devices in Microsoft Entra ID"
Intune Administrator,microsoft.directory/devices/enable,"Enable devices in Microsoft Entra ID"
Intune Administrator,microsoft.directory/devices/extensionAttributeSet1/update,"Update the extensionAttribute1 to extensionAttribute5 properties on devices"
Intune Administrator,microsoft.directory/devices/extensionAttributeSet2/update,"Update the extensionAttribute6 to extensionAttribute10 properties on devices"
Intune Administrator,microsoft.directory/devices/extensionAttributeSet3/update,"Update the extensionAttribute11 to extensionAttribute15 properties on devices"
Intune Administrator,microsoft.directory/devices/registeredOwners/update,"Update registered owners of devices"
Intune Administrator,microsoft.directory/devices/registeredUsers/update,"Update registered users of devices"
Intune Administrator,microsoft.directory/groups.security/assignedLabels/update,"Update the assigned labels property on Security groups of assigned membership type, excluding role-assignable groups"
Intune Administrator,microsoft.directory/groups.security/basic/update,"Update basic properties on Security groups, excluding role-assignable groups"
Intune Administrator,microsoft.directory/groups.security/classification/update,"Update the classification property on Security groups, excluding role-assignable groups"
Intune Administrator,microsoft.directory/groups.security/create,"Create Security groups, excluding role-assignable groups"
Intune Administrator,microsoft.directory/groups.security/delete,"Delete Security groups, excluding role-assignable groups"
Intune Administrator,microsoft.directory/groups.security/dynamicMembershipRule/update,"Update the dynamic membership rule on Security groups, excluding role-assignable groups"
Intune Administrator,microsoft.directory/groups.security/members/update,"Update members of Security groups, excluding role-assignable groups"
Intune Administrator,microsoft.directory/groups.security/owners/update,"Update owners of Security groups, excluding role-assignable groups"
Intune Administrator,microsoft.directory/groups.security/visibility/update,"Update the visibility property on Security groups, excluding role-assignable groups"
Intune Administrator,microsoft.directory/groups/hiddenMembers/read,"Read hidden members of Security groups and Microsoft 365 groups, including role-assignable groups"
Intune Administrator,microsoft.directory/users/basic/update,"Update basic properties on users"
Intune Administrator,microsoft.directory/users/manager/update,"Update manager for users"
Intune Administrator,microsoft.directory/users/photo/update,"Update photo of users"
Intune Administrator,microsoft.intune/allEntities/allTasks,"Manage all aspects of Microsoft Intune"
Intune Administrator,microsoft.office365.organizationalMessages/allEntities/allProperties/read,"Read all aspects of Microsoft 365 Organizational Messages"
Intune Administrator,microsoft.office365.supportTickets/allEntities/allTasks,"Create and manage Microsoft 365 service requests"
Intune Administrator,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
IoT Device Administrator,microsoft.directory/certificateBasedDeviceAuthConfigurations/create,"Create Certificate Authorities configurations for IoT Device trust and authentication"
IoT Device Administrator,microsoft.directory/certificateBasedDeviceAuthConfigurations/credentials/update,"Update crendential related properties on certificate authority configurations for Internet of Things (IoT) device trust and authentication"
IoT Device Administrator,microsoft.directory/certificateBasedDeviceAuthConfigurations/delete,"Delete certificate authority configurations for Internet of Things (IoT) device"
IoT Device Administrator,microsoft.directory/certificateBasedDeviceAuthConfigurations/standard/read,"Read standard properties on certificate authority configurations for Internet of Things (IoT) device trust and authentication"
IoT Device Administrator,microsoft.directory/deviceTemplates/create,"Create Internet of Things (IoT) device templates"
IoT Device Administrator,microsoft.directory/deviceTemplates/createDeviceFromTemplate,"Create IoT Device from Internet of Things (IoT) device templates"
IoT Device Administrator,microsoft.directory/deviceTemplates/delete,"Delete Internet of Things (IoT) device templates"
IoT Device Administrator,microsoft.directory/deviceTemplates/deviceInstances/read,"Read device instances from Internet of Things (IoT) device links"
IoT Device Administrator,microsoft.directory/deviceTemplates/owners/read,"Read owners on Internet of Things (IoT) device templates"
IoT Device Administrator,microsoft.directory/deviceTemplates/owners/update,"Update owners on Internet of Things (IoT) device templates"
Kaizala Administrator,microsoft.directory/authorizationPolicy/standard/read,"Read standard properties of authorization policy"
Kaizala Administrator,microsoft.office365.serviceHealth/allEntities/allTasks,"Read and configure Service Health in the Microsoft 365 admin center"
Kaizala Administrator,microsoft.office365.supportTickets/allEntities/allTasks,"Create and manage Microsoft 365 service requests"
Kaizala Administrator,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
Knowledge Administrator,microsoft.directory/groups.security/basic/update,"Update basic properties on Security groups, excluding role-assignable groups"
Knowledge Administrator,microsoft.directory/groups.security/create,"Create Security groups, excluding role-assignable groups"
Knowledge Administrator,microsoft.directory/groups.security/createAsOwner,"Create Security groups, excluding role-assignable groups. Creator is added as the first owner."
Knowledge Administrator,microsoft.directory/groups.security/delete,"Delete Security groups, excluding role-assignable groups"
Knowledge Administrator,microsoft.directory/groups.security/members/update,"Update members of Security groups, excluding role-assignable groups"
Knowledge Administrator,microsoft.directory/groups.security/owners/update,"Update owners of Security groups, excluding role-assignable groups"
Knowledge Administrator,microsoft.office365.knowledge/contentUnderstanding/allProperties/allTasks,"Read and update all properties of content understanding in Microsoft 365 admin center"
Knowledge Administrator,microsoft.office365.knowledge/knowledgeNetwork/allProperties/allTasks,"Read and update all properties of knowledge network in Microsoft 365 admin center"
Knowledge Administrator,microsoft.office365.knowledge/learningSources/allProperties/allTasks,"Manage learning sources and all their properties in Learning App."
Knowledge Administrator,microsoft.office365.protectionCenter/sensitivityLabels/allProperties/read,"Read all properties of sensitivity labels in the Security and Compliance centers"
Knowledge Administrator,microsoft.office365.sharePoint/allEntities/allTasks,"Create and delete all resources, and read and update standard properties in SharePoint"
Knowledge Administrator,microsoft.office365.supportTickets/allEntities/allTasks,"Create and manage Microsoft 365 service requests"
Knowledge Administrator,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
Knowledge Manager,microsoft.directory/groups.security/basic/update,"Update basic properties on Security groups, excluding role-assignable groups"
Knowledge Manager,microsoft.directory/groups.security/create,"Create Security groups, excluding role-assignable groups"
Knowledge Manager,microsoft.directory/groups.security/createAsOwner,"Create Security groups, excluding role-assignable groups. Creator is added as the first owner."
Knowledge Manager,microsoft.directory/groups.security/delete,"Delete Security groups, excluding role-assignable groups"
Knowledge Manager,microsoft.directory/groups.security/members/update,"Update members of Security groups, excluding role-assignable groups"
Knowledge Manager,microsoft.directory/groups.security/owners/update,"Update owners of Security groups, excluding role-assignable groups"
Knowledge Manager,microsoft.office365.knowledge/contentUnderstanding/analytics/allProperties/read,"Read analytics reports of content understanding in Microsoft 365 admin center"
Knowledge Manager,microsoft.office365.knowledge/knowledgeNetwork/topicVisibility/allProperties/allTasks,"Manage topic visibility of knowledge network in Microsoft 365 admin center"
Knowledge Manager,microsoft.office365.sharePoint/allEntities/allTasks,"Create and delete all resources, and read and update standard properties in SharePoint"
Knowledge Manager,microsoft.office365.supportTickets/allEntities/allTasks,"Create and manage Microsoft 365 service requests"
Knowledge Manager,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
License Administrator,microsoft.azure.serviceHealth/allEntities/allTasks,"Read and configure Azure Service Health"
License Administrator,microsoft.directory/authorizationPolicy/standard/read,"Read standard properties of authorization policy"
License Administrator,microsoft.directory/groups/assignLicense,"Assign product licenses to groups for group-based licensing"
License Administrator,microsoft.directory/groups/reprocessLicenseAssignment,"Reprocess license assignments for group-based licensing"
License Administrator,microsoft.directory/users/assignLicense,"Manage user licenses"
License Administrator,microsoft.directory/users/reprocessLicenseAssignment,"Reprocess license assignments for users"
License Administrator,microsoft.directory/users/usageLocation/update,"Update usage location of users"
License Administrator,microsoft.office365.serviceHealth/allEntities/allTasks,"Read and configure Service Health in the Microsoft 365 admin center"
License Administrator,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
Lifecycle Workflows Administrator,microsoft.directory/lifecycleWorkflows/workflows/allProperties/allTasks,"Manage all aspects of lifecycle workflows and tasks in Microsoft Entra ID"
Lifecycle Workflows Administrator,microsoft.directory/organization/strongAuthentication/read,"Read strong authentication properties of an organization"
Lifecycle Workflows Administrator,microsoft.directory/users/lifeCycleInfo/read,"Read lifecycle information of users, such as employeeLeaveDateTime"
Message Center Privacy Reader,microsoft.office365.messageCenter/messages/read,"Read messages in Message Center in the Microsoft 365 admin center, excluding security messages"
Message Center Privacy Reader,microsoft.office365.messageCenter/securityMessages/read,"Read security messages in Message Center in the Microsoft 365 admin center"
Message Center Privacy Reader,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
Message Center Reader,microsoft.office365.messageCenter/messages/read,"Read messages in Message Center in the Microsoft 365 admin center, excluding security messages"
Message Center Reader,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
Microsoft 365 Backup Administrator,microsoft.azure.serviceHealth/allEntities/allTasks,"Read and configure Azure Service Health"
Microsoft 365 Backup Administrator,microsoft.azure.supportTickets/allEntities/allTasks,"Create and manage Azure support tickets"
Microsoft 365 Backup Administrator,microsoft.backup/allEntities/allProperties/allTasks,"Manage all aspects of Microsoft 365 Backup"
Microsoft 365 Backup Administrator,microsoft.office365.network/performance/allProperties/read,"Read all network performance properties in the Microsoft 365 admin center"
Microsoft 365 Backup Administrator,microsoft.office365.serviceHealth/allEntities/allTasks,"Read and configure Service Health in the Microsoft 365 admin center"
Microsoft 365 Backup Administrator,microsoft.office365.supportTickets/allEntities/allTasks,"Create and manage Microsoft 365 service requests"
Microsoft 365 Backup Administrator,microsoft.office365.usageReports/allEntities/allProperties/read,"Read Office 365 usage reports"
