role,permission(action),description
Attack Simulation Administrator,microsoft.office365.protectionCenter/attackSimulator/simulation/allProperties/allTasks,"Create and manage attack simulation templates in Attack Simulator"
Attribute Assignment Administrator,microsoft.directory/attributeSets/allProperties/read,"Read all properties of attribute sets"
Attribute Assignment Administrator,microsoft.directory/azureManagedIdentities/customSecurityAttributes/read,"Read custom security attribute values for Microsoft Entra managed identities"
Attribute Assignment Administrator,microsoft.directory/azureManagedIdentities/customSecurityAttributes/update,"Update custom security attribute values for Microsoft Entra managed identities"
Attribute Assignment Administrator,microsoft.directory/customSecurityAttributeDefinitions/allProperties/read,"Read all properties of custom security attribute definitions"
Attribute Assignment Administrator,microsoft.directory/devices/customSecurityAttributes/read,"Read custom security attribute values for devices"
Attribute Assignment Administrator,microsoft.directory/devices/customSecurityAttributes/update,"Update custom security attribute values for devices"
Attribute Assignment Administrator,microsoft.directory/servicePrincipals/customSecurityAttributes/read,"Read custom security attribute values for service principals"
Attribute Assignment Administrator,microsoft.directory/servicePrincipals/customSecurityAttributes/update,"Update custom security attribute values for service principals"
Attribute Assignment Administrator,microsoft.directory/users/customSecurityAttributes/read,"Read custom security attribute values for users"
Attribute Assignment Administrator,microsoft.directory/users/customSecurityAttributes/update,"Update custom security attribute values for users"
Attribute Assignment Reader,microsoft.directory/attributeSets/allProperties/read,"Read all properties of attribute sets"
Attribute Assignment Reader,microsoft.directory/azureManagedIdentities/customSecurityAttributes/read,"Read custom security attribute values for Microsoft Entra managed identities"
Attribute Assignment Reader,microsoft.directory/customSecurityAttributeDefinitions/allProperties/read,"Read all properties of custom security attribute definitions"
Attribute Assignment Reader,microsoft.directory/devices/customSecurityAttributes/read,"Read custom security attribute values for devices"
Attribute Assignment Reader,microsoft.directory/servicePrincipals/customSecurityAttributes/read,"Read custom security attribute values for service principals"
Attribute Assignment Reader,microsoft.directory/users/customSecurityAttributes/read,"Read custom security attribute values for users"
Attribute Definition Administrator,microsoft.directory/attributeSets/allProperties/allTasks,"Manage all aspects of attribute sets"
Attribute Definition Administrator,microsoft.directory/customSecurityAttributeDefinitions/allProperties/allTasks,"Manage all aspects of custom security attribute definitions"
Attribute Definition Reader,microsoft.directory/attributeSets/allProperties/read,"Read all properties of attribute sets"
Attribute Definition Reader,microsoft.directory/customSecurityAttributeDefinitions/allProperties/read,"Read all properties of custom security attribute definitions"
Attribute Log Administrator,microsoft.azure.customSecurityAttributeDiagnosticSettings/allEntities/allProperties/allTasks,"Configure all aspects of custom security attributes diagnostic settings"
Attribute Log Administrator,microsoft.directory/customSecurityAttributeAuditLogs/allProperties/read,"Read audit logs related to custom secruity attributes"
Attribute Log Reader,microsoft.directory/customSecurityAttributeAuditLogs/allProperties/read,"Read audit logs related to custom secruity attributes"
Attribute Provisioning Administrator,microsoft.directory/servicePrincipals/synchronization.customSecurityAttributes/schema/read,"Read all custom security attributes in the synchronization schema"
Attribute Provisioning Administrator,microsoft.directory/servicePrincipals/synchronization.customSecurityAttributes/schema/update,"Update custom security attribute mappings in the synchronization schema"
Attribute Provisioning Reader,microsoft.directory/servicePrincipals/synchronization.customSecurityAttributes/schema/read,"Read all custom security attributes in the synchronization schema"
Authentication Administrator,microsoft.azure.serviceHealth/allEntities/allTasks,"Read and configure Azure Service Health"
Authentication Administrator,microsoft.azure.supportTickets/allEntities/allTasks,"Create and manage Azure support tickets"
Authentication Administrator,microsoft.directory/deletedItems.users/restore,"Restore soft deleted users to original state"
Authentication Administrator,microsoft.directory/users/authenticationMethods/basic/update,"Update basic properties of authentication methods for users"
Authentication Administrator,microsoft.directory/users/authenticationMethods/create,"Update authentication methods for users"
Authentication Administrator,microsoft.directory/users/authenticationMethods/delete,"Delete authentication methods for users"
Authentication Administrator,microsoft.directory/users/authenticationMethods/standard/restrictedRead,"Read standard properties of authentication methods that do not include personally identifiable information for users"
Authentication Administrator,microsoft.directory/users/basic/update,"Update basic properties on users"
Authentication Administrator,microsoft.directory/users/delete,"Delete users"
Authentication Administrator,microsoft.directory/users/disable,"Disable users"
Authentication Administrator,microsoft.directory/users/enable,"Enable users"
Authentication Administrator,microsoft.directory/users/invalidateAllRefreshTokens,"Force sign-out by invalidating user refresh tokens"
Authentication Administrator,microsoft.directory/users/manager/update,"Update manager for users"
Authentication Administrator,microsoft.directory/users/password/update,"Reset passwords for all users"
Authentication Administrator,microsoft.directory/users/restore,"Restore deleted users"
Authentication Administrator,microsoft.directory/users/userPrincipalName/update,"Update User Principal Name of users"
Authentication Administrator,microsoft.office365.serviceHealth/allEntities/allTasks,"Read and configure Service Health in the Microsoft 365 admin center"
Authentication Administrator,microsoft.office365.supportTickets/allEntities/allTasks,"Create and manage Microsoft 365 service requests"
Authentication Administrator,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
Authentication Extensibility Administrator,microsoft.directory/customAuthenticationExtensions/allProperties/allTasks,"Create and manage custom authentication extensions"
Authentication Policy Administrator,microsoft.azure.supportTickets/allEntities/allTasks,"Create and manage Azure support tickets"
Authentication Policy Administrator,microsoft.directory/organization/strongAuthentication/allTasks,"Manage all aspects of strong authentication properties of an organization"
Authentication Policy Administrator,microsoft.directory/userCredentialPolicies/basic/update,"Update basic policies for users"
Authentication Policy Administrator,microsoft.directory/userCredentialPolicies/create,"Create credential policies for users"
Authentication Policy Administrator,microsoft.directory/userCredentialPolicies/delete,"Delete credential policies for users"
Authentication Policy Administrator,microsoft.directory/userCredentialPolicies/owners/read,"Read owners of credential policies for users"
Authentication Policy Administrator,microsoft.directory/userCredentialPolicies/owners/update,"Update owners of credential policies for users"
Authentication Policy Administrator,microsoft.directory/userCredentialPolicies/policyAppliedTo/read,"Read policy.appliesTo navigation link"
Authentication Policy Administrator,microsoft.directory/userCredentialPolicies/standard/read,"Read standard properties of credential policies for users"
Authentication Policy Administrator,microsoft.directory/userCredentialPolicies/tenantDefault/update,"Update policy.isOrganizationDefault property"
Authentication Policy Administrator,microsoft.directory/verifiableCredentials/configuration/allProperties/read,"Read configuration required to create and manage verifiable credentials"
Authentication Policy Administrator,microsoft.directory/verifiableCredentials/configuration/allProperties/update,"Update configuration required to create and manage verifiable credentials"
Authentication Policy Administrator,microsoft.directory/verifiableCredentials/configuration/contracts/allProperties/read,"Read a verifiable credential contract"
Authentication Policy Administrator,microsoft.directory/verifiableCredentials/configuration/contracts/allProperties/update,"Update a verifiable credential contract"
Authentication Policy Administrator,microsoft.directory/verifiableCredentials/configuration/contracts/cards/allProperties/read,"Read a verifiable credential card"
Authentication Policy Administrator,microsoft.directory/verifiableCredentials/configuration/contracts/cards/revoke,"Revoke a verifiable credential card"
Authentication Policy Administrator,microsoft.directory/verifiableCredentials/configuration/contracts/create,"Create a verifiable credential contract"
Authentication Policy Administrator,microsoft.directory/verifiableCredentials/configuration/create,"Create configuration required to create and manage verifiable credentials"
Authentication Policy Administrator,microsoft.directory/verifiableCredentials/configuration/delete,"Delete configuration required to create and manage verifiable credentials and delete all of its verifiable credentials"
Azure DevOps Administrator,microsoft.azure.devOps/allEntities/allTasks,"Read and configure Azure DevOps"
Azure Information Protection Administrator,microsoft.azure.informationProtection/allEntities/allTasks,"Manage all aspects of Azure Information Protection"
Azure Information Protection Administrator,microsoft.azure.serviceHealth/allEntities/allTasks,"Read and configure Azure Service Health"
Azure Information Protection Administrator,microsoft.azure.supportTickets/allEntities/allTasks,"Create and manage Azure support tickets"
Azure Information Protection Administrator,microsoft.directory/authorizationPolicy/standard/read,"Read standard properties of authorization policy"
Azure Information Protection Administrator,microsoft.office365.serviceHealth/allEntities/allTasks,"Read and configure Service Health in the Microsoft 365 admin center"
Azure Information Protection Administrator,microsoft.office365.supportTickets/allEntities/allTasks,"Create and manage Microsoft 365 service requests"
Azure Information Protection Administrator,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
B2C IEF Keyset Administrator,microsoft.directory/b2cTrustFrameworkKeySet/allProperties/allTasks,"Read and configure key sets in Azure Active Directory B2C"
B2C IEF Policy Administrator,microsoft.directory/b2cTrustFrameworkPolicy/allProperties/allTasks,"Read and configure custom policies in Azure Active Directory B2C"
Billing Administrator,microsoft.azure.serviceHealth/allEntities/allTasks,"Read and configure Azure Service Health"
Billing Administrator,microsoft.azure.supportTickets/allEntities/allTasks,"Create and manage Azure support tickets"
Billing Administrator,microsoft.commerce.billing/allEntities/allProperties/allTasks,"Manage all aspects of Office 365 billing"
Billing Administrator,microsoft.directory/organization/basic/update,"Update basic properties on organization"
Billing Administrator,microsoft.office365.serviceHealth/allEntities/allTasks,"Read and configure Service Health in the Microsoft 365 admin center"
Billing Administrator,microsoft.office365.supportTickets/allEntities/allTasks,"Create and manage Microsoft 365 service requests"
Billing Administrator,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
Cloud App Security Administrator,microsoft.directory/cloudAppSecurity/allProperties/allTasks,"Create and delete all resources, and read and update standard properties in Microsoft Defender for Cloud Apps"
Cloud App Security Administrator,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
Cloud Application Administrator,microsoft.azure.serviceHealth/allEntities/allTasks,"Read and configure Azure Service Health"
Cloud Application Administrator,microsoft.azure.supportTickets/allEntities/allTasks,"Create and manage Azure support tickets"
Cloud Application Administrator,microsoft.directory/adminConsentRequestPolicy/allProperties/allTasks,"Manage admin consent request policies in Microsoft Entra ID"
Cloud Application Administrator,microsoft.directory/appConsent/appConsentRequests/allProperties/read,"Read all properties of consent requests for applications registered with Microsoft Entra ID"
Cloud Application Administrator,microsoft.directory/applicationPolicies/basic/update,"Update standard properties of application policies"
Cloud Application Administrator,microsoft.directory/applicationPolicies/create,"Create application policies"
Cloud Application Administrator,microsoft.directory/applicationPolicies/delete,"Delete application policies"
Cloud Application Administrator,microsoft.directory/applicationPolicies/owners/read,"Read owners on application policies"
Cloud Application Administrator,microsoft.directory/applicationPolicies/owners/update,"Update the owner property of application policies"
Cloud Application Administrator,microsoft.directory/applicationPolicies/policyAppliedTo/read,"Read application policies applied to objects list"
Cloud Application Administrator,microsoft.directory/applicationPolicies/standard/read,"Read standard properties of application policies"
Cloud Application Administrator,microsoft.directory/applications/appRoles/update,"Update the appRoles property on all types of applications"
Cloud Application Administrator,microsoft.directory/applications/audience/update,"Update the audience property for applications"
Cloud Application Administrator,microsoft.directory/applications/authentication/update,"Update authentication on all types of applications"
Cloud Application Administrator,microsoft.directory/applications/basic/update,"Update basic properties for applications"
Cloud Application Administrator,microsoft.directory/applications/create,"Create all types of applications"
Cloud Application Administrator,microsoft.directory/applications/credentials/update,"Update application credentials"
Cloud Application Administrator,microsoft.directory/applications/delete,"Delete all types of applications"
Cloud Application Administrator,microsoft.directory/applications/extensionProperties/update,"Update extension properties on applications"
Cloud Application Administrator,microsoft.directory/applications/notes/update,"Update notes of applications"
Cloud Application Administrator,microsoft.directory/applications/owners/update,"Update owners of applications"
Cloud Application Administrator,microsoft.directory/applications/permissions/update,"Update exposed permissions and required permissions on all types of applications"
Cloud Application Administrator,microsoft.directory/applications/policies/update,"Update policies of applications"
Cloud Application Administrator,microsoft.directory/applications/synchronization/standard/read,"Read provisioning settings associated with the application object"
Cloud Application Administrator,microsoft.directory/applications/tag/update,"Update tags of applications"
Cloud Application Administrator,microsoft.directory/applications/verification/update,"Update applicationsverification property"
Cloud Application Administrator,microsoft.directory/applicationTemplates/instantiate,"Instantiate gallery applications from application templates"
Cloud Application Administrator,microsoft.directory/auditLogs/allProperties/read,"Read all properties on audit logs, excluding custom security attributes audit logs"
Cloud Application Administrator,microsoft.directory/deletedItems.applications/delete,"Permanently delete applications, which can no longer be restored"
Cloud Application Administrator,microsoft.directory/deletedItems.applications/restore,"Restore soft deleted applications to original state"
Cloud Application Administrator,microsoft.directory/oAuth2PermissionGrants/allProperties/allTasks,"Create and delete OAuth 2.0 permission grants, and read and update all properties"
Cloud Application Administrator,microsoft.directory/provisioningLogs/allProperties/read,"Read all properties of provisioning logs"
Cloud Application Administrator,microsoft.directory/servicePrincipals/appRoleAssignedTo/update,"Update service principal role assignments"
Cloud Application Administrator,microsoft.directory/servicePrincipals/audience/update,"Update audience properties on service principals"
Cloud Application Administrator,microsoft.directory/servicePrincipals/authentication/update,"Update authentication properties on service principals"
Cloud Application Administrator,microsoft.directory/servicePrincipals/basic/update,"Update basic properties on service principals"
Cloud Application Administrator,microsoft.directory/servicePrincipals/create,"Create service principals"
Cloud Application Administrator,microsoft.directory/servicePrincipals/credentials/update,"Update credentials of service principals"
Cloud Application Administrator,microsoft.directory/servicePrincipals/delete,"Delete service principals"
Cloud Application Administrator,microsoft.directory/servicePrincipals/disable,"Disable service principals"
Cloud Application Administrator,microsoft.directory/servicePrincipals/enable,"Enable service principals"
Cloud Application Administrator,microsoft.directory/servicePrincipals/getPasswordSingleSignOnCredentials,"Manage password single-sign-on credentials on service principals"
Cloud Application Administrator,microsoft.directory/servicePrincipals/managePasswordSingleSignOnCredentials,"Read password single-sign-on credentials on service principals"
Cloud Application Administrator,microsoft.directory/servicePrincipals/managePermissionGrantsForAll.microsoft-application-admin,"Grant consent for application permissions and delegated permissions on behalf of any user or all users, except for application permissions for Microsoft Graph and Azure AD Graph"
Cloud Application Administrator,microsoft.directory/servicePrincipals/notes/update,"Update notes of service principals"
Cloud Application Administrator,microsoft.directory/servicePrincipals/owners/update,"Update owners of service principals"
Cloud Application Administrator,microsoft.directory/servicePrincipals/permissions/update,"Update permissions of service principals"
Cloud Application Administrator,microsoft.directory/servicePrincipals/policies/update,"Update policies of service principals"
